id;comuna;macrozona_3;orientacion_sexual;id_genero;edad;bienestar_subjetivo_3;bienestar_subjetivo;perc_respeto_3;perc_respeto;tipologia_bien_respeto;suma_disc_vida;alguna_disc_vida;suma_disc_ano;alguna_disc_ano;alguna_disc_verbal_vida;alguna_disc_exclusion_vida;alguna_disc_identidad_vida;suma_disc_verb_ano;alguna_disc_verb_ano;suma_disc_exclusion_ano;alguna_disc_exclusion_ano;suma_disc_identidad_ano;alguna_disc_identidad_ano;disc_mi_hogar;disc_familiares;disc_educativo;disc_trabajo;disc_salud_publico;disc_salud_privado;disc_carabineros;disc_pdi;disc_ins_publica;disc_int_financieras;disc_penitenciarias;disc_empresas;disc_publicos;disc_barrio;disc_comercio;disc_club_lgbtiq;disc_club_general;disc_transp_privado;disc_transp_publico;disc_gimnasios;disc_evento_lgbtiq;disc_protesta;disc_redes_sociales;disc_religiosos;disc_arrendar;lug_gritos_intimo;lug_gritos_cercano;lug_gritos_estado;lug_gritos_privado;lug_gritos_publico;lug_insultos_intimo;lug_insultos_cercano;lug_insultos_estado;lug_insultos_privado;lug_insultos_publico;lug_apariencia_intimo;lug_apariencia_cercano;lug_apariencia_estado;lug_apariencia_privado;lug_apariencia_publico;lug_respeto_intimo;lug_respeto_cercano;lug_respeto_estado;lug_respeto_privado;lug_respeto_publico;lug_expulsaron_intimo;lug_expulsaron_cercano;lug_expulsaron_estado;lug_expulsaron_privado;lug_expulsaron_publico;lug_sancion_intimo;lug_sancion_cercano;lug_sancion_estado;lug_sancion_privado;lug_sancion_publico;disc_ag_nuclear;disc_ag_fam_extendida;disc_ag_pareja;disc_ag_fam_pareja;disc_ag_amigo;disc_ag_comp_educ;disc_ag_jefes;disc_ag_comp_trabajo;disc_ag_cliente;disc_ag_director;disc_ag_miembro_religioso;disc_ag_funcionario_pub;disc_ag_ffaa;disc_ag_carabineros;disc_ag_pdi;disc_ag_pers_salud;disc_ag_funcionario_priv;disc_ag_desconocidos;disc_ag_anti_lgbtiq;disc_ag_personas_lgbtiq;disc_ag_otros;ag_gritos_familiar;ag_gritos_educativo;ag_gritos_laboral;ag_gritos_estatal;ag_gritos_salud;ag_gritos_lgbtiq;ag_gritos_otros;ag_insultos_familiar;ag_insultos_educativo;ag_insultos_laboral;ag_insultos_estatal;ag_insultos_salud;ag_insultos_lgbtiq;ag_insultos_otros;ag_apariencia_familiar;ag_apariencia_educativo;ag_apariencia_laboral;ag_apariencia_estatal;ag_apariencia_salud;ag_apariencia_lgbtiq;ag_apariencia_otros;ag_respeto_familiar;ag_respeto_educativo;ag_respeto_laboral;ag_respeto_estatal;ag_respeto_salud;ag_respeto_lgbtiq;ag_respeto_otros;ag_expulsaron_familiar;ag_expulsaron_educativo;ag_expulsaron_laboral;ag_expulsaron_estatal;ag_expulsaron_salud;ag_expulsaron_lgbtiq;ag_expulsaron_otros;ag_sancion_familiar;ag_sancion_educativo;ag_sancion_laboral;ag_sancion_estatal;ag_sancion_salud;ag_sancion_lgbtiq;ag_sancion_otros;alguna_vic_vida;G06Q03;vive_con;rango_ingreso;nivel_ingresos
175;249;2;4;3;3;2;0;1;1;4;4;1;2;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;3;2
192;268;2;1;1;3;2;0;2;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;6;3
195;271;2;1;1;3;3;1;2;0;1;4;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;;;;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;;;;;;;0;2;1;7;3
197;268;2;1;1;2;3;1;1;1;2;4;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;6;3
204;280;2;3;1;2;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;2;7;3
205;268;2;2;1;2;2;0;2;0;3;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;1;4;2
207;189;3;1;1;2;2;0;2;0;3;3;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;2;6;3
210;262;2;4;3;2;1;0;1;1;4;3;1;3;1;1;0;1;1;1;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;1;2;2;6;3
212;281;2;3;1;2;2;0;1;1;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;2;2;1
227;301;3;3;1;3;2;0;1;1;4;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;1;0;0;0;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;0;3;3;4;2
