id;comuna;macrozona_3;orientacion_sexual;id_genero;edad;bienestar_subjetivo_3;bienestar_subjetivo;perc_respeto_3;perc_respeto;tipologia_bien_respeto;suma_disc_vida;alguna_disc_vida;suma_disc_ano;alguna_disc_ano;alguna_disc_verbal_vida;alguna_disc_exclusion_vida;alguna_disc_identidad_vida;suma_disc_verb_ano;alguna_disc_verb_ano;suma_disc_exclusion_ano;alguna_disc_exclusion_ano;suma_disc_identidad_ano;alguna_disc_identidad_ano;disc_mi_hogar;disc_familiares;disc_educativo;disc_trabajo;disc_salud_publico;disc_salud_privado;disc_carabineros;disc_pdi;disc_ins_publica;disc_int_financieras;disc_penitenciarias;disc_empresas;disc_publicos;disc_barrio;disc_comercio;disc_club_lgbtiq;disc_club_general;disc_transp_privado;disc_transp_publico;disc_gimnasios;disc_evento_lgbtiq;disc_protesta;disc_redes_sociales;disc_religiosos;disc_arrendar;lug_gritos_intimo;lug_gritos_cercano;lug_gritos_estado;lug_gritos_privado;lug_gritos_publico;lug_insultos_intimo;lug_insultos_cercano;lug_insultos_estado;lug_insultos_privado;lug_insultos_publico;lug_apariencia_intimo;lug_apariencia_cercano;lug_apariencia_estado;lug_apariencia_privado;lug_apariencia_publico;lug_respeto_intimo;lug_respeto_cercano;lug_respeto_estado;lug_respeto_privado;lug_respeto_publico;lug_expulsaron_intimo;lug_expulsaron_cercano;lug_expulsaron_estado;lug_expulsaron_privado;lug_expulsaron_publico;lug_sancion_intimo;lug_sancion_cercano;lug_sancion_estado;lug_sancion_privado;lug_sancion_publico
175;249;2;4;3;3;2;0;1;1;4;4;1;2;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;
192;268;2;1;1;3;2;0;2;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;271;2;1;1;3;3;1;2;0;1;4;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;;;;;
197;268;2;1;1;2;3;1;1;1;2;4;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;280;2;3;1;2;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
205;268;2;2;1;2;2;0;2;0;3;2;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
207;189;3;1;1;2;2;0;2;0;3;3;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;262;2;4;3;2;1;0;1;1;4;3;1;3;1;1;0;1;1;1;0;0;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;
212;281;2;3;1;2;2;0;1;1;4;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;301;3;3;1;3;2;0;1;1;4;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;1;0;0;0;;;;;;;;;;;;;;;
